"tract","Name","Median_Hhold._Income_of_Residents_in_2012-16"
37107010400,"Kinston, NC",13946
36055000200,"Edgerton, Rochester, NY",12815
17031350400,"Douglas, Chicago, IL",11110
37097080100,,
9001030300,"Darien, CT",246886
9001011000,"Old Greenwich, Greenwich, CT",245079
24031706007,"Potomac, MD",225834
9001010300,"Greenwich, CT",218494
36119012400,"Pound Ridge, NY",186116
34003020200,"Franklin Lakes, NJ",180486
34035052203,"Warren, NJ",176783
36119008602,"Purchase, Harrison, NY",173780
17031800200,"Glencoe, IL",172256
48201210100,"Downtown, Houston, TX",168870
6001404200,"Upper Rockridge, Oakland, CA",167407
34039038201,"Berkeley Heights, NJ",161710
26163561200,"Northville, MI",151665
6037143901,"Studio City, Los Angeles, CA",150024
34003061300,"Wyckoff, NJ",148378
42017104506,"Doylestown, PA",147411
53061050600,"Woodway, WA",146720
48085031654,"Highlands Of Preston Ridge, Plano, TX",146536
51107611102,"Sterling, VA",145985
9003487202,"South Windsor, CT",145199
6085502500,"Central San Jose, San Jose, CA",145045
53033032326,"Woodinville, WA",144769
4013216848,"North Scottsdale, Scottsdale, AZ",141195
34027046298,"Long Valley, Washington Township, NJ",141120
34019011304,"Flemington, NJ",136644
6075021100,"Dolores Heights, San Francisco, CA",135076
53033002200,"Northeast Seattle, Seattle, WA",133113
36029009007,"Buffalo, NY",130732
51059422402,"Alexandria, VA",130609
27037061004,"Rosemount, MN",129278
25027739500,"Shrewsbury, MA",128357
39017011116,"Butler County, OH",128211
6001450101,"Dublin, CA",127127
34035050703,"Bridgewater, NJ",126496
27019090501,"Excelsior, MN",125912
36119011700,"Sleepy Hollow, NY",125047
51760050400,"Near West End, Richmond, VA",124217
42091203204,"Center Square, PA",123806
6037400207,"Bonita, La Verne, CA",123494
33015003802,"Londonderry, NH",123297
29189222100,"Grover, Wildwood, MO",123165
37183053409,"Devereaux, Cary, NC",122717
51153901509,"Haymarket, VA",122063
6075012602,"Marina District, San Francisco, CA",120689
6081611300,"Redwood City, CA",120243
48491020106,"Berry Creek, Georgetown, TX",119627
22071013301,"Lake Shore - Lake Vista, New Orleans, LA",118692
20091052306,"Hidden Woods, Shawnee, KS",118582
34027040900,"Boonton, NJ",118176
34039038700,"Fanwood, NJ",117896
34015500600,"Mickleton, NJ",117888
42017104301,"New Hope, PA",117425
4013116733,"Ahwatukee Foothills Village, Phoenix, AZ",116962
6037300100,"La Crescenta, La Crescenta-Montrose, CA",116812
17031062600,"West Lakeview, Chicago, IL",115678
6037920104,"Castaic, CA",115419
26125156100,"West Bloomfield Township, MI",115371
12099007009,"Boca Raton, FL",114802
6001443321,"Warm Springs, Fremont, CA",113516
6037460000,"Hastings Ranch, Pasadena, CA",113504
25017374600,"West Newton, Newton, MA",113356
25017374700,"Auburndale, Newton, MA",113136
8001009410,"East Central Westminster, Westminster, CO",113006
8013012800,"Erie, CO",112827
48121021631,"North Central Carrollton, Carrollton, TX",112648
6059062630,"Turtle Rock, Irvine, CA",112333
51610500200,"Falls Church, VA",112127
6061020601,"Granite Bay, CA",111815
32003005842,"Las Vegas, NV",111098
15003008406,"Ewa, Ewa Beach, HI",110865
37119003400,"Dilworth, Charlotte, NC",110244
36119013202,"Briarcliff Manor, NY",110234
15003008927,"Mililani Mauka - Launani Valley, Mililani, HI",109697
36103134907,"Kings Park, NY",109462
51059430102,"Fairfax, VA",109303
25017313101,"Tyngsborough, MA",108745
48453001761,"Austin, TX",108683
15003008913,"Waipahu, HI",108506
6073020710,"Kit Carson, Escondido, CA",108331
6037800325,"Westlake Village, CA",106643
36065025003,"Clinton, NY",106483
56025001603,"Casper, WY",106161
8031004002,"South, Denver, CO",106073
24025303603,"Bel Air, MD",105543
34021003006,"Mercerville-Hamilton Square, Hamilton Township, NJ",105338
55131460101,"Hubertus, WI",104474
36087010902,"Congers, NY",104404
42091205809,"King of Prussia, PA",104365
34003051400,"Rutherford, NJ",104323
13117130202,"Cumming, GA",104309
41067031909,"Bull Mountain, Portland, OR",104134
34025804100,"Monmouth Beach, NJ",104078
